,,prism-time,prism-frac,ours-time,ours-frac
1,0.0,$2.0 \pm 0.2$,$0.2 \pm 0.0$,$1.9 \pm 0.0$,$1.0 \pm 0.0$
1,0.5,$1.9 \pm 0.0$,$0.6 \pm 0.0$,$1.9 \pm 0.0$,$1.0 \pm 0.0$
1,1.0,$1.9 \pm 0.0$,$0.9 \pm 0.0$,$2.0 \pm 0.1$,$1.0 \pm 0.0$
5,0.0,$2.9 \pm 0.0$,$0.2 \pm 0.0$,$2.1 \pm 0.0$,$1.0 \pm 0.0$
5,0.5,$2.9 \pm 0.0$,$0.4 \pm 0.2$,$2.1 \pm 0.0$,$1.0 \pm 0.0$
5,1.0,$2.9 \pm 0.1$,$0.9 \pm 0.0$,$2.1 \pm 0.0$,$1.0 \pm 0.0$
10,0.0,$50.7 \pm 3.0$,$0.2 \pm 0.0$,$6.3 \pm 0.5$,$1.0 \pm 0.0$
10,0.5,$51.9 \pm 2.8$,$0.4 \pm 0.2$,$6.0 \pm 0.1$,$1.0 \pm 0.0$
10,1.0,$55.9 \pm 1.9$,$0.9 \pm 0.0$,$6.3 \pm 0.4$,$1.0 \pm 0.0$
